"GEO_ID","NAME","B19113_001E","B19113_001M","B19113_001MA","B19113_001EA",
"0500000US06073","San Diego County, California","95623","868","null","null",
"0500000US06075","San Francisco County, California","138207","3159","null","null",
"0500000US06077","San Joaquin County, California","76536","1217","null","null",
"0500000US06079","San Luis Obispo County, California","97590","2305","null","null",
"0500000US06081","San Mateo County, California","148138","2751","null","null",
"0500000US06083","Santa Barbara County, California","89549","2670","null","null",
"0500000US06085","Santa Clara County, California","148065","1508","null","null",
"0500000US06087","Santa Cruz County, California","109931","3356","null","null",
"0500000US06089","Shasta County, California","69052","3272","null","null",
"0500000US06091","Sierra County, California","70238","24870","null","null",
"0500000US06093","Siskiyou County, California","57268","3552","null","null",
"0500000US06095","Solano County, California","95438","1809","null","null",
"0500000US06097","Sonoma County, California","102411","2107","null","null",
"0500000US06099","Stanislaus County, California","69654","1898","null","null",
"0500000US06101","Sutter County, California","72193","4606","null","null",
"0500000US06103","Tehama County, California","63084","3362","null","null",
"0500000US06105","Trinity County, California","51109","4997","null","null",
"0500000US06107","Tulare County, California","55395","1820","null","null",
"0500000US06109","Tuolumne County, California","80685","5320","null","null",
"0500000US06111","Ventura County, California","101160","1551","null","null",
"0500000US06113","Yolo County, California","95373","3765","null","null",
"0500000US06115","Yuba County, California","68025","3213","null","null",
"0500000US08001","Adams County, Colorado","83853","1647","null","null",
"0500000US08003","Alamosa County, Colorado","51810","4742","null","null",
"0500000US08005","Arapahoe County, Colorado","98402","1628","null","null",
"0500000US08007","Archuleta County, Colorado","66429","9529","null","null",
"0500000US08009","Baca County, Colorado","48942","5379","null","null",
"0500000US08011","Bent County, Colorado","42868","6356","null","null",
"0500000US08013","Boulder County, Colorado","118307","3155","null","null",
"0500000US08014","Broomfield County, Colorado","129207","3329","null","null",
"0500000US08015","Chaffee County, Colorado","70603","8864","null","null",
"0500000US08017","Cheyenne County, Colorado","82250","9734","null","null",
"0500000US08019","Clear Creek County, Colorado","109327","16720","null","null",
"0500000US08021","Conejos County, Colorado","50906","5343","null","null",
"0500000US08023","Costilla County, Colorado","45032","4896","null","null",
"0500000US08025","Crowley County, Colorado","53438","8864","null","null",
"0500000US08027","Custer County, Colorado","66436","8584","null","null",
"0500000US08029","Delta County, Colorado","62003","4576","null","null",
"0500000US08031","Denver County, Colorado","93236","2441","null","null",
"0500000US08033","Dolores County, Colorado","68750","10689","null","null",
"0500000US08035","Douglas County, Colorado","137589","2190","null","null",
"0500000US08037","Eagle County, Colorado","98427","7954","null","null",
"0500000US08039","Elbert County, Colorado","115382","8014","null","null",
"0500000US08041","El Paso County, Colorado","84078","1559","null","null",
"0500000US08043","Fremont County, Colorado","67029","5025","null","null",
"0500000US08045","Garfield County, Colorado","86677","4798","null","null",
"0500000US08047","Gilpin County, Colorado","111832","16365","null","null",
"0500000US08049","Grand County, Colorado","91273","6048","null","null",
"0500000US08051","Gunnison County, Colorado","84627","10540","null","null",
"0500000US08053","Hinsdale County, Colorado","59219","16728","null","null",
